Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/batch/0ed5b40d-12c4-447f-a3d3-c9f13c7eef74,9,0,5,5.2792777787544765,3.018200004589744,8.50229999923613,2284.777777777778,0.012970664484950984,0.0,5,5,6,8,9,9,9,9,9,9,9
GET,/batch/0f93564b-6b81-4a02-9d9e-24f120cae6df,11,0,4,6.256372728041077,3.1006999997771345,13.912999995227437,2792.4545454545455,0.015853034370495647,0.0,4,5,10,10,11,14,14,14,14,14,14
GET,/batch/0f940d34-cb75-44fe-9b4a-d1545b8f61a3,10,0,7,71.47516999830259,2.7733999959309585,529.6194999973522,2589.1,0.014411849427723316,0.0,9,33,54,67,530,530,530,530,530,530,530
GET,/batch/0fbb34b0-0cba-45ea-8c05-78b802e9096b,11,0,5,13.318318182427902,2.759499999228865,46.44410000037169,3719.3636363636365,0.015853034370495647,0.0,5,12,25,25,34,46,46,46,46,46,46
GET,/batch/1313c07f-2ce4-4152-8c5a-5b2c7b66de4a,10,0,15,81.39553000000888,3.6483999938354827,469.59310000238474,4123.7,0.014411849427723316,0.0,16,29,32,230,470,470,470,470,470,470,470
GET,/batch/139b6b1e-f618-472e-b15f-8ac0a111a374,4,0,4,15.472099999897182,3.050200000870973,35.35130000091158,4533.25,0.0057647397710893266,0.0,19,19,35,35,35,35,35,35,35,35,35
GET,/batch/13e5302d-29c9-4489-bec9-d9eda5bc4b89,12,0,4,6.947833335289033,2.6757000014185905,23.891300006653182,3059.8333333333335,0.01729421931326798,0.0,4,4,7,7,19,24,24,24,24,24,24
GET,/batch/14360e48-13d4-47f0-937f-e19d83e1134d,12,0,8,47.702574999372395,2.82800000422867,261.4374999975553,4400.5,0.01729421931326798,0.0,16,16,100,100,120,260,260,260,260,260,260
GET,/batch/14f7c56b-87f1-4ba9-ae32-567291d92e8e,8,0,5,52.47928749940911,3.040399999008514,196.95759999740403,2651.375,0.011529479542178653,0.0,9,12,190,190,200,200,200,200,200,200,200
GET,/batch/155c0211-726c-47d9-8221-07abe04af341,11,0,5,12.442718181277582,2.9627000039909035,63.63889999920502,3243.7272727272725,0.015853034370495647,0.0,5,10,14,14,17,64,64,64,64,64,64
GET,/batch/172b0a5a-4486-44df-ae61-1f77d121029c,5,0,6,8.699379999598023,3.481100000499282,15.692399996623863,4139.0,0.007205924713861658,0.0,6,15,15,16,16,16,16,16,16,16,16
GET,/batch/18b168a6-0309-4914-a1e6-db980525ee08,6,0,8,10.313466667867033,3.8308000002871267,21.48940000188304,3005.6666666666665,0.00864710965663399,0.0,9,9,13,13,21,21,21,21,21,21,21
GET,/batch/1954600f-fd35-4839-96fb-5ea11b61476a,12,0,4,27.166141665778316,2.4095999979181215,152.18919999460923,3183.9166666666665,0.01729421931326798,0.0,5,13,15,15,110,150,150,150,150,150,150
GET,/batch/197a2389-34a2-4bd0-b2f6-4af7ae0620ae,6,0,6,17.651366666541435,3.49879999703262,52.89389999961713,3551.5,0.00864710965663399,0.0,14,14,25,25,53,53,53,53,53,53,53
GET,/batch/19887d25-8a8b-4b7f-8866-166808802aa7,14,0,5,68.27625000057326,2.8909000029671006,633.3059000025969,4053.0714285714284,0.02017658919881264,0.0,5,5,17,38,230,630,630,630,630,630,630
GET,/batch/19c777c5-1b1f-48c9-87e5-d9659c1b31e9,14,0,7,15.165907143195259,3.7566000028164126,89.62030000111554,3233.3571428571427,0.02017658919881264,0.0,7,8,9,17,38,90,90,90,90,90,90
